team,goals_scored,Total shots,Shots on target,Accurate passes,Fouls committed,Corners,Interceptions,Blocks,Clearances,Keeper saves,Yellow cards,Red cards,Duels won,Successful dribbles,Shots on target..1
Germany,5.0,20.0,10.0,643.0,15.0,5.0,0.0,9.0,2.0,0.0,16.0,0.0,34.0,6.0,
Hungary,1.0,6.0,2.0,643.0,9.0,2.0,0.0,11.0,5.0,5.0,23.0,4.0,48.0,4.0,
Spain,3.0,11.0,5.0,365.0,14.0,5.0,0.0,10.0,5.0,3.0,10.0,5.0,55.0,12.0,
Italy,2.0,17.0,5.0,365.0,7.0,5.0,0.0,5.0,15.0,2.0,6.0,0.0,31.0,9.0,
Poland,1.0,12.0,7.0,383.0,10.0,3.0,0.0,9.0,7.0,3.0,26.0,2.0,39.0,7.0,
Slovenia,1.0,11.0,2.0,383.0,12.0,5.0,0.0,7.0,13.0,5.0,30.0,3.0,35.0,3.0,
Serbia,0.0,6.0,1.0,747.0,19.0,2.0,0.0,10.0,5.0,1.0,17.0,2.0,36.0,8.0,
Romania,3.0,9.0,5.0,747.0,9.0,4.0,0.0,3.0,6.0,5.0,31.0,3.0,37.0,11.0,
Belgium,0.0,16.0,5.0,232.0,14.0,5.0,0.0,7.0,2.0,2.0,15.0,3.0,40.0,8.0,
Austria,0.0,6.0,3.0,232.0,18.0,6.0,0.0,13.0,3.0,5.0,19.0,3.0,48.0,4.0,
Turkiye,3.0,22.0,8.0,241.0,10.0,5.0,0.0,15.0,6.0,4.0,18.0,3.0,47.0,3.0,
Portugal,2.0,19.0,8.0,241.0,6.0,13.0,0.0,8.0,4.0,2.0,7.0,0.0,50.0,10.0,
Croatia,2.0,22.0,10.0,438.0,15.0,3.0,0.0,12.0,14.0,6.0,7.0,5.0,64.0,16.0,
Germany,2.0,19.0,7.0,438.0,12.0,11.0,0.0,11.0,6.0,4.0,20.0,3.0,42.0,4.0,
Scotland,1.0,12.0,3.0,170.0,11.0,5.0,0.0,5.0,2.0,1.0,18.0,3.0,46.0,2.0,
Slovenia,1.0,11.0,4.0,170.0,13.0,4.0,0.0,13.0,6.0,8.0,36.0,3.0,54.0,7.0,
Denmark,1.0,16.0,7.0,488.0,13.0,4.0,0.0,12.0,11.0,1.0,11.0,3.0,45.0,4.0,
Spain,1.0,20.0,9.0,488.0,17.0,5.0,0.0,8.0,9.0,0.0,11.0,1.0,53.0,14.0,
Slovakia,1.0,14.0,5.0,401.0,9.0,4.0,0.0,8.0,5.0,5.0,15.0,3.0,37.0,10.0,
Poland,1.0,15.0,3.0,401.0,15.0,4.0,0.0,5.0,6.0,4.0,21.0,6.0,42.0,9.0,
Netherlands,0.0,8.0,4.0,511.0,13.0,3.0,0.0,7.0,3.0,5.0,23.0,3.0,22.0,0.0,
Georgia,1.0,5.0,1.0,511.0,12.0,5.0,0.0,13.0,5.0,7.0,45.0,11.0,54.0,9.0,
Turkiye,0.0,11.0,3.0,618.0,16.0,9.0,0.0,10.0,8.0,2.0,13.0,1.0,44.0,10.0,
Belgium,2.0,20.0,9.0,618.0,9.0,7.0,0.0,12.0,7.0,3.0,22.0,4.0,53.0,10.0,
Scotland,0.0,4.0,0.0,572.0,16.0,2.0,0.0,5.0,6.0,2.0,26.0,4.0,67.0,7.0,
Switzerland,1.0,4.0,3.0,572.0,14.0,2.0,0.0,9.0,8.0,5.0,16.0,2.0,38.0,3.0,
Albania,0.0,10.0,4.0,668.0,6.0,2.0,0.0,9.0,13.0,3.0,24.0,2.0,51.0,12.0,
Croatia,1.0,6.0,4.0,668.0,18.0,2.0,0.0,12.0,14.0,7.0,28.0,2.0,32.0,9.0,
France,1.0,19.0,8.0,287.0,12.0,11.0,0.0,15.0,6.0,2.0,12.0,2.0,55.0,14.0,
Netherlands,2.0,11.0,2.0,287.0,10.0,5.0,0.0,13.0,4.0,3.0,5.0,3.0,58.0,9.0,
Denmark,0.0,10.0,3.0,269.0,11.0,8.0,0.0,5.0,10.0,1.0,20.0,1.0,43.0,3.0,
England,0.0,12.0,4.0,269.0,11.0,6.0,0.0,3.0,3.0,1.0,5.0,1.0,26.0,5.0,
Slovakia,1.0,13.0,4.0,476.0,11.0,5.0,0.0,5.0,8.0,0.0,23.0,4.0,39.0,2.0,
Ukraine,0.0,13.0,4.0,476.0,9.0,3.0,0.0,9.0,11.0,4.0,20.0,4.0,45.0,4.0,
Czechia,1.0,12.0,7.0,537.0,16.0,3.0,2.0,6.0,2.0,7.0,19.0,3.0,39.0,7.0,
Georgia,2.0,7.0,3.0,537.0,6.0,1.0,0.0,13.0,4.0,8.0,26.0,5.0,47.0,9.0,
Switzerland,2.0,16.0,4.0,480.0,9.0,4.0,0.0,8.0,6.0,3.0,26.0,1.0,36.0,5.0,
Germany,2.0,15.0,9.0,480.0,7.0,6.0,0.0,6.0,8.0,5.0,22.0,2.0,45.0,10.0,
England,2.0,16.0,2.0,311.0,12.0,9.0,0.0,9.0,6.0,3.0,9.0,2.0,70.0,14.0,
Spain,4.0,35.0,13.0,311.0,11.0,13.0,0.0,10.0,6.0,1.0,8.0,0.0,45.0,12.0,
France,1.0,19.0,2.0,352.0,7.0,5.0,0.0,11.0,7.0,2.0,18.0,3.0,41.0,9.0,
Portugal,0.0,20.0,6.0,352.0,8.0,11.0,0.0,16.0,12.0,2.0,25.0,2.0,83.0,22.0,
Romania,0.0,5.0,1.0,246.0,8.0,4.0,0.0,5.0,8.0,6.0,35.0,3.0,26.0,1.0,
Austria,1.0,21.0,5.0,246.0,12.0,10.0,0.0,5.0,5.0,1.0,13.0,2.0,44.0,7.0,
Spain,2.0,18.0,6.0,373.0,17.0,1.0,1.0,11.0,11.0,7.0,37.0,5.0,70.0,13.0,
Portugal,0.0,15.0,4.0,373.0,8.0,11.0,0.0,11.0,8.0,5.0,19.0,5.0,43.0,11.0,
England,1.0,13.0,3.0,365.0,8.0,4.0,0.0,16.0,6.0,2.0,21.0,2.0,59.0,11.0,
Netherlands,2.0,11.0,4.0,365.0,16.0,3.0,0.0,10.0,8.0,4.0,20.0,2.0,37.0,8.0,
Scotland,1.0,1.0,,189.0,9.0,0.0,1.0,8.0,6.0,5.0,22.0,5.0,41.0,5.0,0.0
Switzerland,3.0,15.0,,189.0,13.0,6.0,0.0,9.0,6.0,1.0,17.0,1.0,41.0,5.0,7.0
Croatia,0.0,16.0,,380.0,13.0,0.0,0.0,10.0,9.0,3.0,4.0,2.0,47.0,10.0,5.0
Albania,1.0,8.0,,380.0,7.0,3.0,0.0,5.0,13.0,6.0,15.0,3.0,26.0,2.0,1.0
Netherlands,2.0,21.0,,456.0,8.0,6.0,0.0,11.0,3.0,1.0,21.0,6.0,54.0,14.0,4.0
Denmark,1.0,16.0,,456.0,9.0,9.0,0.0,2.0,5.0,2.0,17.0,1.0,40.0,1.0,4.0
England,1.0,5.0,,313.0,8.0,1.0,0.0,6.0,8.0,3.0,22.0,1.0,50.0,8.0,3.0
Ukraine,0.0,13.0,,313.0,8.0,8.0,0.0,11.0,5.0,2.0,7.0,2.0,43.0,7.0,2.0
Slovakia,1.0,10.0,,514.0,10.0,7.0,0.0,4.0,9.0,6.0,19.0,5.0,37.0,6.0,4.0
France,1.0,14.0,,514.0,11.0,2.0,0.0,7.0,6.0,1.0,31.0,3.0,64.0,12.0,3.0
Georgia,1.0,14.0,,583.0,7.0,5.0,0.0,16.0,8.0,7.0,27.0,5.0,52.0,6.0,5.0
Czechia,1.0,5.0,,583.0,9.0,0.0,0.0,10.0,11.0,7.0,31.0,7.0,40.0,4.0,1.0
Albania,2.0,15.0,,527.0,11.0,1.0,0.0,7.0,9.0,6.0,26.0,8.0,36.0,3.0,7.0
Hungary,0.0,11.0,,527.0,10.0,7.0,0.0,6.0,5.0,6.0,31.0,5.0,41.0,4.0,4.0
Switzerland,1.0,11.0,,516.0,11.0,8.0,0.0,5.0,8.0,3.0,24.0,2.0,38.0,5.0,4.0
Serbia,1.0,15.0,,516.0,8.0,9.0,0.0,10.0,5.0,3.0,15.0,3.0,57.0,8.0,4.0
England,1.0,12.0,,283.0,5.0,2.0,0.0,7.0,7.0,5.0,16.0,6.0,47.0,11.0,4.0
Italy,0.0,4.0,,283.0,14.0,2.0,0.0,16.0,9.0,4.0,15.0,8.0,61.0,2.0,1.0
Ukraine,2.0,13.0,,390.0,12.0,4.0,0.0,11.0,8.0,5.0,19.0,4.0,44.0,5.0,5.0
Austria,3.0,15.0,,390.0,15.0,3.0,0.0,5.0,16.0,7.0,19.0,2.0,43.0,5.0,9.0
France,0.0,15.0,,379.0,8.0,6.0,0.0,7.0,2.0,3.0,9.0,4.0,38.0,9.0,3.0
Czechia,1.0,27.0,,379.0,17.0,11.0,0.0,16.0,3.0,1.0,19.0,0.0,56.0,3.0,12.0
Portugal,3.0,12.0,,169.0,8.0,1.0,0.0,6.0,9.0,4.0,18.0,3.0,49.0,8.0,3.0
Romania,0.0,14.0,,169.0,11.0,7.0,0.0,9.0,4.0,6.0,24.0,7.0,39.0,1.0,5.0
Hungary,1.0,14.0,,247.0,13.0,6.0,0.0,9.0,6.0,3.0,15.0,0.0,57.0,3.0,5.0
Germany,1.0,18.0,,247.0,12.0,9.0,0.0,9.0,7.0,0.0,11.0,2.0,48.0,10.0,3.0
Spain,1.0,16.0,,248.0,15.0,6.0,0.0,12.0,5.0,3.0,20.0,4.0,42.0,6.0,3.0
Italy,1.0,12.0,,248.0,6.0,11.0,0.0,4.0,1.0,1.0,13.0,3.0,46.0,5.0,3.0
Poland,1.0,10.0,,344.0,15.0,3.0,0.0,10.0,10.0,8.0,31.0,7.0,41.0,7.0,3.0
Austria,3.0,9.0,,344.0,16.0,2.0,0.0,16.0,10.0,3.0,14.0,0.0,49.0,7.0,5.0
Serbia,0.0,5.0,,462.0,5.0,2.0,0.0,7.0,8.0,2.0,25.0,3.0,46.0,2.0,1.0
Slovenia,0.0,4.0,,462.0,9.0,0.0,0.0,10.0,4.0,4.0,24.0,3.0,35.0,4.0,1.0
Romania,1.0,9.0,,455.0,10.0,1.0,0.0,7.0,7.0,2.0,29.0,3.0,39.0,7.0,5.0
Belgium,0.0,12.0,,455.0,8.0,7.0,0.0,3.0,2.0,4.0,10.0,4.0,32.0,8.0,4.0
Turkiye,2.0,18.0,,364.0,9.0,7.0,0.0,11.0,4.0,3.0,19.0,5.0,60.0,12.0,5.0
Portugal,0.0,22.0,,364.0,11.0,11.0,0.0,10.0,8.0,1.0,10.0,1.0,49.0,13.0,5.0
Italy,0.0,11.0,,368.0,15.0,6.0,0.0,10.0,8.0,6.0,17.0,2.0,39.0,7.0,1.0
Denmark,0.0,11.0,,368.0,15.0,6.0,0.0,12.0,4.0,1.0,18.0,7.0,40.0,4.0,2.0
Slovakia,1.0,13.0,,373.0,19.0,1.0,0.0,12.0,9.0,7.0,44.0,0.0,61.0,2.0,3.0
Georgia,1.0,4.0,,373.0,5.0,3.0,0.0,10.0,7.0,11.0,28.0,9.0,41.0,7.0,0.0
Belgium,0.0,5.0,,609.0,10.0,2.0,0.0,11.0,7.0,1.0,18.0,2.0,40.0,6.0,2.0
Slovenia,0.0,10.0,,609.0,17.0,4.0,0.0,22.0,9.0,6.0,37.0,6.0,72.0,7.0,2.0
Netherlands,3.0,23.0,,430.0,9.0,13.0,0.0,4.0,9.0,1.0,23.0,1.0,47.0,11.0,6.0
Turkiye,2.0,6.0,,430.0,5.0,4.0,0.0,8.0,13.0,7.0,55.0,4.0,56.0,7.0,3.0
Germany,1.0,23.0,,505.0,22.0,5.0,0.0,14.0,9.0,3.0,19.0,4.0,56.0,7.0,5.0
France,0.0,20.0,,505.0,13.0,4.0,0.0,13.0,6.0,6.0,35.0,4.0,48.0,14.0,5.0
Switzerland,1.0,11.0,,286.0,13.0,3.0,0.0,12.0,3.0,8.0,30.0,2.0,42.0,7.0,3.0
Turkiye,1.0,15.0,,286.0,7.0,7.0,1.0,7.0,12.0,3.0,15.0,3.0,47.0,5.0,4.0
